,cat_investment,cat_size,net_assets,portfolio_stocks,portfolio_bonds,price_earnings,price_book,price_sales,price_cashflow,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,label
1750,-1,0,1250000000.0,98.16,0.0,9.01,1.06,3.7,2.49,0.0,0.0,0.42,99.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1752,0,-1,144490000.0,99.78,0.0,8.79,1.19,1.57,1.95,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1753,1,0,20820000.0,59.38,0.0,13.42,1.83,0.31,5.29,0.0,75.49,0.0,0.0,18.04,0.0,0.0,0.0,0.0,1.18,5.3,-1
1755,1,0,430890000.0,99.39,0.0,43.4,2.27,8.11,17.01,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1756,-1,1,38280000.0,99.87,0.0,11.52,0.98,0.67,5.18,9.12,19.57,20.29,4.96,7.77,4.46,1.35,5.08,1.66,10.72,15.03,0
1758,1,1,139740000.0,99.89,0.0,16.51,2.8,1.63,7.51,1.32,19.44,8.58,7.09,4.96,17.36,4.28,0.94,4.44,8.91,22.69,0
1759,1,1,341150000.0,99.64,0.0,12.39,1.46,0.79,5.74,8.74,16.17,15.61,1.74,11.08,10.34,4.42,2.34,7.61,12.5,9.44,0
1760,1,1,115660000.0,99.92,0.0,8.49,1.02,0.75,2.97,10.33,11.7,18.97,5.91,10.14,0.92,2.33,2.04,8.63,7.43,21.59,0
1761,1,1,64370000.0,99.47,0.0,12.91,2.0,0.88,6.07,8.54,14.35,13.16,0.03,12.83,13.47,6.05,0.88,10.76,13.45,6.47,0
1762,1,1,139880000.0,99.83,0.0,15.05,2.02,0.84,6.93,4.93,19.27,7.16,0.97,5.04,9.92,3.73,2.35,9.69,14.01,22.93,0
1763,0,0,491280000.0,99.8,0.0,17.52,1.79,1.91,7.99,2.37,19.23,9.01,6.77,3.86,18.46,1.7,0.0,10.8,13.17,14.62,0
1765,-1,-1,135390000.0,99.68,0.0,10.28,1.03,0.32,4.78,9.06,25.6,14.21,3.92,3.34,2.5,0.0,1.22,9.49,21.77,8.9,-1
1766,1,1,180400000.0,99.65,0.0,15.31,3.45,1.35,5.06,1.4,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.88,2.83,0
1767,-1,1,12900000.0,99.82,0.0,10.6,1.24,0.49,4.64,6.25,13.95,16.44,2.11,10.74,6.94,4.14,4.8,11.22,13.07,10.33,0
1768,-1,1,406830000.0,99.5,0.0,13.92,2.28,1.13,12.04,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1771,1,0,225310000.0,99.84,0.0,21.11,1.12,1.65,6.87,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1777,-1,1,124740000.0,57.21,26.3,15.86,1.49,1.13,7.42,26.42,3.04,0.0,26.41,3.61,0.85,7.55,0.0,23.63,8.48,0.0,0
1778,1,1,24730000.0,99.82,0.0,14.64,1.41,0.97,7.84,5.87,11.8,16.7,13.38,13.56,9.63,3.19,4.11,1.92,13.3,6.54,0
1779,-1,1,5430000.0,99.59,0.0,13.48,2.18,1.23,5.57,1.91,12.95,9.41,7.11,8.38,14.11,3.26,2.47,5.73,12.44,22.23,0
1780,1,1,12730000.0,99.5,0.0,12.25,1.5,0.8,5.2,7.37,7.36,34.05,3.16,7.21,0.9,2.95,5.14,10.68,7.84,13.34,0
